# AMD64 board and isolated ablations, tail-call.md item 23.
# emulator workload rep seconds (each emulator's own boot baseline subtracted).
# Supersedes results-amd64-board-rvvm.txt, whose QEMU columns were not baseline-subtracted.
# --- corrected five-column board
abl-no-crossmap nop 1 1.093
new-jit regs 1 4.182
abl-no-ctx256 regs 1 4.241
abl-no-fpcsr regs 1 4.301
abl-no-crossmap regs 1 4.255
new-jit branch 1 1.571
abl-no-ctx256 branch 1 1.549
abl-no-fpcsr branch 1 1.618
abl-no-crossmap branch 1 1.673
new-jit tree 1 4.566
abl-no-ctx256 tree 1 4.875
abl-no-fpcsr tree 1 4.236
abl-no-crossmap tree 1 4.328
new-jit qsort 1 4.928
abl-no-ctx256 qsort 1 5.725
abl-no-fpcsr qsort 1 5.033
abl-no-crossmap qsort 1 6.645
new-jit memcpy 1 3.37
abl-no-ctx256 memcpy 1 3.451
abl-no-fpcsr memcpy 1 3.419
abl-no-crossmap memcpy 1 3.428
new-jit zlib 1 9.122
abl-no-ctx256 zlib 1 8.381
abl-no-fpcsr zlib 1 8.327
abl-no-crossmap zlib 1 8.547
new-jit hash 1 5.031
abl-no-ctx256 hash 1 4.893
abl-no-fpcsr hash 1 4.93
abl-no-crossmap hash 1 5.393
new-jit syscall 1 0.961
abl-no-ctx256 syscall 1 1.099
abl-no-fpcsr syscall 1 0.947
abl-no-crossmap syscall 1 1.675
new-jit double 1 3.615
abl-no-ctx256 double 1 3.57
abl-no-fpcsr double 1 3.526
abl-no-crossmap double 1 4.674
new-jit sieve 1 5.344
abl-no-ctx256 sieve 1 5.403
abl-no-fpcsr sieve 1 5.337
abl-no-crossmap sieve 1 4.778
new-jit int64 1 2.807
abl-no-ctx256 int64 1 2.813
abl-no-fpcsr int64 1 2.78
abl-no-crossmap int64 1 5.317
new-jit matrixprod 1 3.882
abl-no-ctx256 matrixprod 1 4.108
abl-no-fpcsr matrixprod 1 2.898
abl-no-crossmap matrixprod 1 4.555
new-jit nop 2 1.011
abl-no-ctx256 nop 2 1.012
abl-no-fpcsr nop 2 0.916
abl-no-crossmap nop 2 1.115
new-jit regs 2 4.165
abl-no-ctx256 regs 2 4.339
abl-no-fpcsr regs 2 4.247
abl-no-crossmap regs 2 4.248
new-jit branch 2 1.625
abl-no-ctx256 branch 2 1.607
abl-no-fpcsr branch 2 1.576
abl-no-crossmap branch 2 1.597
new-jit tree 2 4.576
abl-no-ctx256 tree 2 4.914
abl-no-fpcsr tree 2 4.547
abl-no-crossmap tree 2 4.491
new-jit qsort 2 5.011
abl-no-ctx256 qsort 2 5.67
abl-no-fpcsr qsort 2 5.348
abl-no-crossmap qsort 2 7.098
new-jit memcpy 2 3.293
abl-no-ctx256 memcpy 2 3.458
abl-no-fpcsr memcpy 2 3.411
abl-no-crossmap memcpy 2 3.335
new-jit zlib 2 8.389
abl-no-ctx256 zlib 2 8.264
abl-no-fpcsr zlib 2 8.562
abl-no-crossmap zlib 2 8.644
new-jit hash 2 4.928
abl-no-ctx256 hash 2 5.204
abl-no-fpcsr hash 2 4.93
abl-no-crossmap hash 2 5.023
new-jit syscall 2 0.925
abl-no-ctx256 syscall 2 1.114
abl-no-fpcsr syscall 2 0.905
abl-no-crossmap syscall 2 1.772
new-jit double 2 3.749
abl-no-ctx256 double 2 3.685
abl-no-fpcsr double 2 3.626
abl-no-crossmap double 2 4.641
new-jit sieve 2 5.355
abl-no-ctx256 sieve 2 5.3
abl-no-fpcsr sieve 2 5.277
abl-no-crossmap sieve 2 4.784
new-jit int64 2 2.828
abl-no-ctx256 int64 2 2.802
abl-no-fpcsr int64 2 2.775
abl-no-crossmap int64 2 5.332
new-jit matrixprod 2 3.868
abl-no-ctx256 matrixprod 2 3.948
abl-no-fpcsr matrixprod 2 2.666
abl-no-crossmap matrixprod 2 4.321
new-jit nop 3 0.95
abl-no-ctx256 nop 3 0.964
abl-no-fpcsr nop 3 0.897
abl-no-crossmap nop 3 1.091
new-jit regs 3 4.315
abl-no-ctx256 regs 3 4.368
abl-no-fpcsr regs 3 4.332
abl-no-crossmap regs 3 4.407
new-jit branch 3 1.594
abl-no-ctx256 branch 3 1.607
abl-no-fpcsr branch 3 1.686
abl-no-crossmap branch 3 1.654
new-jit tree 3 4.544
abl-no-ctx256 tree 3 4.833
abl-no-fpcsr tree 3 4.427
abl-no-crossmap tree 3 4.541
new-jit qsort 3 5.067
abl-no-ctx256 qsort 3 5.817
abl-no-fpcsr qsort 3 5.154
abl-no-crossmap qsort 3 6.547
new-jit memcpy 3 3.343
abl-no-ctx256 memcpy 3 3.412
abl-no-fpcsr memcpy 3 3.294
abl-no-crossmap memcpy 3 3.419
new-jit zlib 3 8.325
abl-no-ctx256 zlib 3 8.157
